# 143GHz 217GHz 353GHz
9.980197548866271973e-01 9.988491535186767578e-01 9.989944696426391602e-01
9.979602694511413574e-01 9.988152384757995605e-01 9.989641904830932617e-01
9.978998899459838867e-01 9.987809062004089355e-01 9.989334940910339355e-01
9.978386759757995605e-01 9.987460970878601074e-01 9.989023208618164062e-01
9.977765679359436035e-01 9.987108707427978516e-01 9.988707304000854492e-01
9.977136254310607910e-01 9.986751675605773926e-01 9.988387227058410645e-01
9.976498484611511230e-01 9.986390471458435059e-01 9.988062381744384766e-01
9.975852370262145996e-01 9.986024498939514160e-01 9.987733364105224609e-01
9.975197315216064453e-01 9.985654354095458984e-01 9.987400174140930176e-01
9.974533915519714355e-01 9.985280036926269531e-01 9.987062215805053711e-01
9.973862171173095703e-01 9.984901547431945801e-01 9.986720085144042969e-01
9.973181486129760742e-01 9.984518289566040039e-01 9.986373782157897949e-01
9.972492456436157227e-01 9.984130859375000000e-01 9.986023306846618652e-01
9.971795082092285156e-01 9.983739256858825684e-01 9.985668063163757324e-01
9.971089363098144531e-01 9.983343482017517090e-01 9.985308647155761719e-01
9.970375299453735352e-01 9.982943534851074219e-01 9.984944462776184082e-01
9.969652295112609863e-01 9.982539415359497070e-01 9.984576702117919922e-01
9.968920946121215820e-01 9.982130527496337891e-01 9.984204173088073730e-01
9.968181848526000977e-01 9.981718063354492188e-01 9.983827471733093262e-01
9.967433810234069824e-01 9.981301426887512207e-01 9.983446002006530762e-01
9.966677427291870117e-01 9.980880618095397949e-01 9.983060956001281738e-01
9.965912699699401855e-01 9.980455636978149414e-01 9.982671141624450684e-01
9.965139627456665039e-01 9.980026483535766602e-01 9.982277154922485352e-01
9.964358210563659668e-01 9.979593753814697266e-01 9.981878995895385742e-01
9.963569045066833496e-01 9.979156255722045898e-01 9.981476068496704102e-01
9.962770938873291016e-01 9.978715181350708008e-01 9.981068968772888184e-01
9.961964488029479980e-01 9.978269934654235840e-01 9.980658292770385742e-01
9.961149692535400391e-01 9.977821111679077148e-01 9.980242848396301270e-01
9.960327148437500000e-01 9.977368116378784180e-01 9.979823231697082520e-01
9.959495663642883301e-01 9.976911544799804688e-01 9.979399442672729492e-01
9.958656430244445801e-01 9.976450800895690918e-01 9.978971481323242188e-01
9.957808852195739746e-01 9.975985884666442871e-01 9.978538751602172852e-01
9.956952929496765137e-01 9.975517392158508301e-01 9.978101849555969238e-01
9.956088662147521973e-01 9.975044727325439453e-01 9.977661371231079102e-01
9.955216646194458008e-01 9.974568486213684082e-01 9.977216124534606934e-01
9.954336285591125488e-01 9.974089264869689941e-01 9.976766705513000488e-01
9.953447580337524414e-01 9.973605275154113770e-01 9.976313114166259766e-01
9.952550530433654785e-01 9.973117709159851074e-01 9.975855350494384766e-01
9.951645731925964355e-01 9.972626566886901855e-01 9.975393414497375488e-01
9.950732588768005371e-01 9.972131848335266113e-01 9.974927306175231934e-01
9.949811100959777832e-01 9.971632957458496094e-01 9.974457025527954102e-01
9.948881864547729492e-01 9.971131086349487305e-01 9.973982572555541992e-01
9.947944283485412598e-01 9.970625042915344238e-01 9.973503947257995605e-01
9.946998953819274902e-01 9.970115423202514648e-01 9.973020553588867188e-01
9.946045279502868652e-01 9.969602823257446289e-01 9.972534179687500000e-01
9.945083260536193848e-01 9.969086050987243652e-01 9.972042441368103027e-01
9.944113492965698242e-01 9.968565702438354492e-01 9.971547126770019531e-01
9.943135380744934082e-01 9.968041777610778809e-01 9.971048235893249512e-01
9.942150115966796875e-01 9.967514872550964355e-01 9.970543980598449707e-01
9.941155910491943359e-01 9.966983795166015625e-01 9.970036149024963379e-01
9.940153956413269043e-01 9.966449141502380371e-01 9.969524145126342773e-01
9.939144253730773926e-01 9.965911507606506348e-01 9.969008564949035645e-01
9.938126206398010254e-01 9.965370297431945801e-01 9.968488216400146484e-01
9.937100410461425781e-01 9.964825510978698730e-01 9.967963695526123047e-01
9.936066269874572754e-01 9.964277744293212891e-01 9.967435598373413086e-01
9.935024380683898926e-01 9.963726401329040527e-01 9.966903328895568848e-01
9.933974742889404297e-01 9.963170886039733887e-01 9.966366291046142578e-01
9.932916760444641113e-01 9.962612986564636230e-01 9.965825676918029785e-01
9.931851029396057129e-01 9.962051510810852051e-01 9.965280890464782715e-01
9.930777549743652344e-01 9.961486458778381348e-01 9.964731931686401367e-01
